Name,RootApplicationPath,ProductionAppCollection,SCCMFolder,Manufacturer,BlackList,AWSDistributionApp
7zip,HOME OFFICE\7Zip,7Zip - Prod,HomeOffice,Igor Pavlov,FALSE,TRUE
bigfix,CoreApps_ALL\BixFixClient,BigFix Client - Prod,CoreApps,IBM,FALSE,TRUE
chrome,CoreApps_ALL\GoogleChrome,Chrome - Prod,CoreApps,Google,FALSE,FALSE
cutepdf,HOME OFFICE\CutePDF,CutePDF - Windows 10,HomeOffice,Acro,TRUE,FALSE
etcher,HOME OFFICE\Etcher,Balena Etcher - Prod,HomeOffice,Balena,FALSE,FALSE
firefox,HOME OFFICE\Mozilla FireFox,Firefox - Prod,HomeOffice,Mozilla,FALSE,FALSE
flash,CoreApps_ALL\Adobe\AdobeFlash,Adobe Flash - Prod,HomeOffice,Adobe,FALSE,FALSE
gimp,HOME OFFICE\GIMP,GIMP - Prod,HomeOffice,GIMP Development Team,FALSE,FALSE
git,HOME OFFICE\Git,Git - Prod,HomeOffice,Software Freedom Conservancy,FALSE,TRUE
insync,CoreApps_ALL\DruvaCloud,Druva inSync - Prod,CoreApps,Druva,FALSE,FALSE
java,CoreApps_ALL\java,Java - Prod,HomeOffice,Oracle,FALSE,FALSE
notepad++,HOME OFFICE\Notepad++,Notepad++ - Prod,HomeOffice,Notepad++ Team,FALSE,TRUE
openjdk,HOME OFFICE\OpenJDK,OpenJDK - Prod,HomeOffice,HotSpot,FALSE,FALSE
putty,HOME OFFICE\Putty,Putty - Prod,HomeOffice,Simon Tatham,FALSE,FALSE
reader,CoreApps_ALL\Adobe\AdobeReader,Adobe Reader - Prod,CoreApps,Adobe,FALSE,FALSE
receiver,HOME OFFICE\Citrix Receiver,Citrix Receiver IE - Prod,HomeOffice,Citrix,FALSE,FALSE
vlc,HOME OFFICE\VLC,VLC - Prod,HomeOffice,VideoLAN,FALSE,FALSE
vscode,HOME OFFICE\VSCode,VSCode - Prod,HomeOffice,Microsoft,FALSE,TRUE
winscp,HOME OFFICE\WinSCP,WinSCP - Prod,HomeOffice,Martin Prikryl,FALSE,FALSE
wireshark,HOME OFFICE\WireShark,WireShark - Testing,HomeOffice,The WireShark Team,FALSE,FALSE
